id,CompanyName,review_cnt,cluster_best
1,"ANDPAD VietNam Co., Ltd",10,1
2,ARIS Vietnam,13,2
3,"AZPLAYS Co., LTD",6,1
4,AZoom VietNam,5,1
5,Accenture,18,0
6,Adnovum Vietnam,6,0
7,Ahamove,12,2
8,Allexceed Việt Nam,17,2
9,Alpaca Vietnam,5,1
10,Asilla,10,1
11,Athena Studio,25,1
12,BAN VIEN CORPORATION,42,2
13,Blue Belt Technology,15,2
14,Bosch Global Software Technologies Company Limited,278,2
15,Bray Leion Splash Group,13,2
16,Breadstack Technologies Inc,14,1
17,"CJ OLIVENETWORKS VINA CO., LTD",6,1
18,CODE88 COMPANY LIMITED,7,1
19,Capgemini Vietnam,72,2
20,Chotot,25,2
21,CodeLink,15,1
22,Collaboration Betters The World (CBTW),53,0
23,Collaboration Betters The World - B.O.T,18,0
24,Creative Force,99,1
25,DNSE,11,1
26,DatVietVAC,9,2
27,Datalogic Việt Nam,11,1
28,Deliveree On-Demand Logistics,17,1
29,Dr.JOY,59,1
30,ELCA,106,2
31,East Agile,27,2
32,Eastgate Software,12,2
33,Employment Hero,105,0
34,"Esoft Vietnam., Ltd",7,2
35,Extreme Việt Nam,19,1
36,F88,39,2
37,FE CREDIT,23,2
38,FPT Software,2014,2
39,FireGroup,32,1
40,Floating Cube Studios,9,1
41,Forix,13,1
42,GEEK UP,23,2
43,GENKI SYSTEM,6,2
44,GFT Technologies Vietnam,100,1
45,GHN,11,1
46,GemCommerce,8,1
47,GeoComply (GeoTech Hub Vietnam),86,1
48,Grab (Vietnam) Ltd.,85,0
49,Gsoft,10,2
50,HARAVAN,41,1
51,HCL Vietnam Company Limited,18,2
52,HDWEBSOFT,16,1
53,HICAS,6,2
54,HOIIO,5,2
55,HRS Group,24,1
56,Hitachi Digital Services,249,2
57,Hybrid Technologies,131,2
58,ICHIBA,5,1
59,IMT Solutions,38,2
60,IT Consultis,8,0
61,IVC (ISB Vietnam),32,2
62,IVS,18,2
63,Infodation Vietnam,6,1
64,Innotech Vietnam Corporation,29,2
65,Intrepid Group Asia,13,1
66,Joblogic,11,1
67,KMS Healthcare,18,2
68,KMS Technology,251,2
69,KiotViet Corporation,35,1
70,Koh Young Technology Inc,5,2
71,LARION,56,2
72,LG CNS Việt Nam,48,1
73,LG Electronics Development Vietnam (LGEDV),103,0
74,LHV Software,18,1
75,Live Payments,12,1
76,Luxoft Vietnam,40,0
77,MB Bank,123,1
78,MEALSUITE,6,0
79,MINU Pte. Ltd,6,2
80,"MONEY FORWARD VIETNAM CO.,LTD",19,1
81,MSB,8,2
82,M_Service (MoMo),62,2
83,Mcredit - Công ty Tài chính TNHH MB Shinsei,7,1
84,NAB Innovation Centre Vietnam,61,0
85,NAL Việt Nam,18,1
86,NAVER VIETNAM,146,0
87,NEXON DEV VINA,16,0
88,"NEYU Ltd.,",9,1
89,NTT DATA VDS,46,2
90,Nakivo,9,1
91,NashTech,308,2
92,New Ocean IS,16,2
93,OL Vietnam,18,0
94,OMNIA SYSTEMS COMPANY LIMITED,8,0
95,ONE Tech Stop Vietnam Company Ltd,26,0
96,"Ohmyhotel&Co VN Co.,Ltd",9,1
97,One Mount Group,20,2
98,Onpoint,7,1
99,Optimizely,29,1
100,Orient Software Development Corp.,176,0
101,Outcubator,18,0
102,Outpost24,5,0
103,PAL TECH,12,2
104,PIXTA Vietnam,26,1
105,PLAYSTUDIOS,12,1
106,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),83,2
107,Parcel Perform,48,1
108,Persol Career Tech Studio Vietnam,25,1
109,Pixelz,10,1
110,Pizza Hut Digital & Technology,11,1
111,PosApp,6,2
112,PwC Vietnam,9,2
113,RAKSUL Vietnam,46,0
114,Rakus Vietnam Company,13,1
115,"Rakuten Fintech Vietnam Co., Ltd.",38,0
116,Restaff – House Of Norway,134,1
117,SAPO,19,2
118,SCC Vietnam,11,1
119,SECUTIX,11,0
120,SHINHAN DS,6,2
121,SMG Swiss Marketplace Group,57,0
122,Saigon Technology,35,2
123,Samsung Electronics HCMC CE Complex,184,0
124,Scandinavian Software Park,57,1
125,Semrush,6,0
126,Shopee,18,2
127,Simpson Strong-Tie Vietnam,12,1
128,Skedulo Vietnam,14,1
129,SmartOSC,158,1
130,Solazu JSC,8,2
131,Sota Tek,35,1
132,TP Entertainment,7,1
133,TRUONG MINH THINH TECHNOLOGY JOINT STOCK COMPANY,13,2
134,Techbase Vietnam,50,1
135,Techcombank,33,2
136,The Access Group,8,1
137,The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,11,1
138,Thoughtworks Vietnam,16,0
139,Titan DMS,7,1
140,"Toshiba Software Development (Viet Nam) Co, Ltd",55,2
141,Travala.com,25,1
142,Trobz,17,2
143,Trusting Social,80,1
144,TymeX,213,0
145,VNDIRECT,8,2
146,VNG Corporation,259,2
147,VNPAY,29,2
148,VPBank,22,2
149,Viettel Group,38,2
150,Viettel Post (A Member of Viettel Group),13,1
151,Vitalify Asia,43,2
152,Vulcan Labs,11,1
153,YOONG,81,0
154,YRGLM Việt Nam,16,2
155,Yes4All,5,2
156,Zuhlke Engineering Vietnam,48,0
157,bbv Vietnam,12,1
158,ekino Vietnam,30,2
159,i3 DVR International,12,1
160,mgm technology partners Vietnam,41,1
